nb_iterations,nb_mois_entrainement,Rendement total (%),Rendement annualisé (%),Volatilité annualisée (%),Max Drawdown (%),Écart annuel de performance (%),Écart moyen (vs action) / capital initial (%),resultats_path,param_path
1000,1,97.18482406909123,42.40628961347228,60.315811440251345,-42.321079202711125,27.724888798327065,52.48328938469354,df_historique_saves_2\df_1000_iter_1_mois.csv,df_historique_param_2\df_params_1000_iter_1_mois.csv
100,1,-17.640686510750804,-9.611144758634405,66.77733972432891,-70.25328156091366,-24.292545573779623,6.708761222769725,df_historique_saves_2\df_100_iter_1_mois.csv,df_historique_param_2\df_params_100_iter_1_mois.csv
1025,1,66.32537127305372,30.330034155684537,54.81325975970811,-43.851330909321696,15.64863334053932,51.1470166222549,df_historique_saves_2\df_1025_iter_1_mois.csv,df_historique_param_2\df_params_1025_iter_1_mois.csv
1050,1,4.964564384471326,2.5548303566643504,60.969847860908125,-66.11894973082391,-12.126570458480867,5.489537705472384,df_historique_saves_2\df_1050_iter_1_mois.csv,df_historique_param_2\df_params_1050_iter_1_mois.csv
1075,1,17.67115357699791,8.84165320992787,55.818496164369826,-52.614044736038146,-5.839747605217349,29.064749371981126,df_historique_saves_2\df_1075_iter_1_mois.csv,df_historique_param_2\df_params_1075_iter_1_mois.csv
1100,1,98.05949560435756,42.73483464945711,55.53742368951693,-46.243465852050285,28.053433834311893,85.47960377147832,df_historique_saves_2\df_1100_iter_1_mois.csv,df_historique_param_2\df_params_1100_iter_1_mois.csv
1125,1,6.186606369629422,3.1747681676663753,53.62128985141339,-57.50321880062034,-11.506632647478842,14.564121027465863,df_historique_saves_2\df_1125_iter_1_mois.csv,df_historique_param_2\df_params_1125_iter_1_mois.csv
1150,1,133.66014136175147,55.56349887561538,58.02523044228203,-55.29054721389108,40.88209806047016,85.92706309272636,df_historique_saves_2\df_1150_iter_1_mois.csv,df_historique_param_2\df_params_1150_iter_1_mois.csv
1175,1,127.2079767407988,53.31191578663053,56.719929308059626,-47.02635260140399,38.63051497148531,64.52543307746281,df_historique_saves_2\df_1175_iter_1_mois.csv,df_historique_param_2\df_params_1175_iter_1_mois.csv
1200,1,125.65871167426232,52.76672965880487,55.30301781629914,-42.70685668813696,38.08532884365965,84.98893073153064,df_historique_saves_2\df_1200_iter_1_mois.csv,df_historique_param_2\df_params_1200_iter_1_mois.csv
1225,1,108.52759977106285,46.61420854121676,58.37278809826297,-56.09605718991071,31.932807726071545,51.423311645299265,df_historique_saves_2\df_1225_iter_1_mois.csv,df_historique_param_2\df_params_1225_iter_1_mois.csv
1250,1,106.29126116846751,45.79342994005942,53.71430170638901,-41.10373343752782,31.112029124914198,52.224679698068144,df_historique_saves_2\df_1250_iter_1_mois.csv,df_historique_param_2\df_params_1250_iter_1_mois.csv
125,1,48.73684496657824,22.962206988515767,61.564684148106465,-59.78227344858288,8.280806173370546,32.887751268838386,df_historique_saves_2\df_125_iter_1_mois.csv,df_historique_param_2\df_params_125_iter_1_mois.csv
1275,1,91.95949825596598,40.428818265410094,55.480548209105926,-43.7240925641215,25.747417450264876,51.503454929032934,df_historique_saves_2\df_1275_iter_1_mois.csv,df_historique_param_2\df_params_1275_iter_1_mois.csv
1300,1,22.294465670677543,11.047638551693929,61.386903099166936,-63.96127394216976,-3.63376226345129,17.330868767979954,df_historique_saves_2\df_1300_iter_1_mois.csv,df_historique_param_2\df_params_1300_iter_1_mois.csv
1325,1,73.8497804388388,33.367296924165736,56.08459243084698,-50.25115609678684,18.68589610902052,40.49021190851986,df_historique_saves_2\df_1325_iter_1_mois.csv,df_historique_param_2\df_params_1325_iter_1_mois.csv
1350,1,95.42324251660862,41.74247530188657,52.798567196618386,-38.377384420339475,27.061074486741354,67.92909850936329,df_historique_saves_2\df_1350_iter_1_mois.csv,df_historique_param_2\df_params_1350_iter_1_mois.csv
1375,1,10.353521278672616,5.263331297109275,56.22325411072633,-53.16770466175691,-9.418069518035942,25.295246209537243,df_historique_saves_2\df_1375_iter_1_mois.csv,df_historique_param_2\df_params_1375_iter_1_mois.csv
1400,1,51.68494236837553,24.225203325706634,59.394374770198844,-51.152930227154926,9.543802510561417,41.10540947792553,df_historique_saves_2\df_1400_iter_1_mois.csv,df_historique_param_2\df_params_1400_iter_1_mois.csv
1425,1,248.1769768450703,91.46713594054503,54.62185962438777,-44.175731630841156,76.78573512539981,109.639788080414,df_historique_saves_2\df_1425_iter_1_mois.csv,df_historique_param_2\df_params_1425_iter_1_mois.csv
1450,1,179.3831758774986,70.73365528526104,57.93332760394464,-40.21981385572829,56.05225447011581,97.48184936941668,df_historique_saves_2\df_1450_iter_1_mois.csv,df_historique_param_2\df_params_1450_iter_1_mois.csv
1475,1,104.03667448707337,44.96162500882455,54.26371351481456,-43.053160591199045,30.280224193679327,69.35537211133153,df_historique_saves_2\df_1475_iter_1_mois.csv,df_historique_param_2\df_params_1475_iter_1_mois.csv
1500,1,50.935809935110996,23.905390384171966,57.11002657253002,-48.11840710634524,9.223989569026747,43.16848463222777,df_historique_saves_2\df_1500_iter_1_mois.csv,df_historique_param_2\df_params_1500_iter_1_mois.csv
150,1,80.10096737142128,35.84300494396555,58.817165084454636,-49.57092943233354,21.161604128820333,49.91601623373433,df_historique_saves_2\df_150_iter_1_mois.csv,df_historique_param_2\df_params_150_iter_1_mois.csv
1525,1,127.34513854416365,53.36009701635904,57.16486058798977,-42.96450123299573,38.678696201213825,67.89628821233399,df_historique_saves_2\df_1525_iter_1_mois.csv,df_historique_param_2\df_params_1525_iter_1_mois.csv
