nb_iterations,nb_mois_entrainement,Rendement total (%),Rendement annualisé (%),Volatilité annualisée (%),Max Drawdown (%),Écart annuel de performance (%),Écart moyen (vs action) / capital initial (%),resultats_path,param_path
1000,1,97.18482406909123,42.40628961347228,60.315811440251345,-42.321079202711125,27.724888798327065,52.48328938469354,df_historique_saves_2\df_1000_iter_1_mois.csv,df_historique_param_2\df_params_1000_iter_1_mois.csv
1000,3,119.42778165663368,50.55572892570497,58.729687880100414,-49.959548885568175,35.87432811055975,22.15748409802093,df_historique_saves_2\df_1000_iter_3_mois.csv,df_historique_param_2\df_params_1000_iter_3_mois.csv
1000,6,8.723353591114002,4.450829142270907,55.64298418105857,-65.07362835093481,-10.230571672874312,-5.835198398794395,df_historique_saves_2\df_1000_iter_6_mois.csv,df_historique_param_2\df_params_1000_iter_6_mois.csv
1000,12,2.20784228415305,1.1435202449830761,45.02154445282498,-46.65513453904699,-13.537880570162141,3.356434706481657,df_historique_saves_2\df_1000_iter_12_mois.csv,df_historique_param_2\df_params_1000_iter_12_mois.csv
100,1,-17.640686510750804,-9.611144758634405,66.77733972432891,-70.25328156091366,-24.292545573779623,6.708761222769725,df_historique_saves_2\df_100_iter_1_mois.csv,df_historique_param_2\df_params_100_iter_1_mois.csv
100,3,195.64750469894568,75.83845086423597,56.6395730516504,-40.475549114279254,61.157050049090756,60.57462581686085,df_historique_saves_2\df_100_iter_3_mois.csv,df_historique_param_2\df_params_100_iter_3_mois.csv
100,6,-28.628706973215667,-16.105129149308183,54.553269503502186,-68.30178523253913,-30.7865299644534,-12.859585159515127,df_historique_saves_2\df_100_iter_6_mois.csv,df_historique_param_2\df_params_100_iter_6_mois.csv
100,12,201.82685475323163,77.74250308802031,51.80267881814912,-29.732277966429915,63.06110227287509,65.01405777020389,df_historique_saves_2\df_100_iter_12_mois.csv,df_historique_param_2\df_params_100_iter_12_mois.csv
1025,1,66.32537127305372,30.330034155684537,54.81325975970811,-43.851330909321696,15.64863334053932,51.1470166222549,df_historique_saves_2\df_1025_iter_1_mois.csv,df_historique_param_2\df_params_1025_iter_1_mois.csv
1025,3,135.19150687301322,56.09349977135763,56.46151768569732,-47.51778204123328,41.412741549067356,24.31538642565596,df_historique_saves_2\df_1025_iter_3_mois.csv,df_historique_param_2\df_params_1025_iter_3_mois.csv
1025,6,71.52767499687653,32.436811468242425,52.780715101344576,-45.72058664608835,17.756053245952153,19.192992404126112,df_historique_saves_2\df_1025_iter_6_mois.csv,df_historique_param_2\df_params_1025_iter_6_mois.csv
1025,12,40.85566184467633,19.52561959276906,51.78261167747918,-59.910707217466076,4.844861370478792,5.295675746765634,df_historique_saves_2\df_1025_iter_12_mois.csv,df_historique_param_2\df_params_1025_iter_12_mois.csv
1050,1,4.964564384471326,2.5548303566643504,60.969847860908125,-66.11894973082391,-12.126570458480867,5.489537705472384,df_historique_saves_2\df_1050_iter_1_mois.csv,df_historique_param_2\df_params_1050_iter_1_mois.csv
1050,3,2.9458791697665188,1.5231301209411852,56.10726737282478,-56.14821506227159,-13.158270694204033,0.1778449731950388,df_historique_saves_2\df_1050_iter_3_mois.csv,df_historique_param_2\df_params_1050_iter_3_mois.csv
1050,6,23.600043726214448,11.663316707164872,53.409564516933,-51.663922554758734,-3.0180841079803455,2.665620760781039,df_historique_saves_2\df_1050_iter_6_mois.csv,df_historique_param_2\df_params_1050_iter_6_mois.csv
1050,12,12.672681282797193,6.409388520210735,55.963309778391476,-58.364528375188826,-8.272012294934484,-4.120345551409641,df_historique_saves_2\df_1050_iter_12_mois.csv,df_historique_param_2\df_params_1050_iter_12_mois.csv
1075,1,17.67115357699791,8.84165320992787,55.818496164369826,-52.614044736038146,-5.839747605217349,29.064749371981126,df_historique_saves_2\df_1075_iter_1_mois.csv,df_historique_param_2\df_params_1075_iter_1_mois.csv
1075,3,93.55849402629129,41.036651974880776,56.027398639087664,-55.87543076973817,26.35589375259051,13.638794269738149,df_historique_saves_2\df_1075_iter_3_mois.csv,df_historique_param_2\df_params_1075_iter_3_mois.csv
1075,6,65.23087054885241,29.882790826480623,54.02628117606449,-45.436720947514544,15.202032604190352,18.14871332440791,df_historique_saves_2\df_1075_iter_6_mois.csv,df_historique_param_2\df_params_1075_iter_6_mois.csv
1075,12,-1.2572754559006638,-0.6565993721278085,51.698893318849834,-47.77638518195868,-15.337357594418076,-0.11925925244995336,df_historique_saves_2\df_1075_iter_12_mois.csv,df_historique_param_2\df_params_1075_iter_12_mois.csv
1100,1,98.05949560435756,42.73483464945711,55.53742368951693,-46.243465852050285,28.053433834311893,85.47960377147832,df_historique_saves_2\df_1100_iter_1_mois.csv,df_historique_param_2\df_params_1100_iter_1_mois.csv
1100,3,57.81801883931339,26.815529085665666,55.351232459854195,-48.705141641138624,12.13412827052045,29.868402738743004,df_historique_saves_2\df_1100_iter_3_mois.csv,df_historique_param_2\df_params_1100_iter_3_mois.csv
1100,6,104.59817054917227,45.1691930843777,54.73211880335157,-51.83978419596489,30.487792269232482,26.02118420170012,df_historique_saves_2\df_1100_iter_6_mois.csv,df_historique_param_2\df_params_1100_iter_6_mois.csv
1100,12,28.484473694017744,13.939498948831396,51.52564398538762,-51.992374209568496,-0.741901866313821,-2.886424950837246,df_historique_saves_2\df_1100_iter_12_mois.csv,df_historique_param_2\df_params_1100_iter_12_mois.csv
1125,1,6.186606369629422,3.1747681676663753,53.62128985141339,-57.50321880062034,-11.506632647478842,14.564121027465863,df_historique_saves_2\df_1125_iter_1_mois.csv,df_historique_param_2\df_params_1125_iter_1_mois.csv
