weights,buy_threshold,sell_threshold,weight_verified,weight_non_verified
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 1, 0, 0]",0.07650402091041097,-0.6202166102943308,0.997736886669689,0.0022631133303110396
"[0, 1, 0, 0]",0.07650402091041097,-0.6202166102943308,0.997736886669689,0.0022631133303110396
"[0, 1, 0, 0]",0.07650402091041097,-0.6202166102943308,0.997736886669689,0.0022631133303110396
"[0, 1, 0, 0]",0.07650402091041097,-0.6202166102943308,0.997736886669689,0.0022631133303110396
"[0, 1, 0, 0]",0.07650402091041097,-0.6202166102943308,0.997736886669689,0.0022631133303110396
"[0, 1, 0, 0]",0.07650402091041097,-0.6202166102943308,0.997736886669689,0.0022631133303110396
"[0, 1, 0, 0]",0.07650402091041097,-0.6202166102943308,0.997736886669689,0.0022631133303110396
"[0, 1, 0, 0]",0.07650402091041097,-0.6202166102943308,0.997736886669689,0.0022631133303110396
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.012565476429511335,-0.938439802164603,0.48044057520499583,0.5195594247950042
"[0.5, 0.0, 0.0, 0.5]",0.029743272682350885,-0.10409481820017874,0.20411161586063997,0.79588838413936
"[0.5, 0.0, 0.0, 0.5]",0.029743272682350885,-0.10409481820017874,0.20411161586063997,0.79588838413936
"[0.5, 0.0, 0.0, 0.5]",0.029743272682350885,-0.10409481820017874,0.20411161586063997,0.79588838413936
"[0.5, 0.0, 0.0, 0.5]",0.029743272682350885,-0.10409481820017874,0.20411161586063997,0.79588838413936
"[0.5, 0.0, 0.0, 0.5]",0.029743272682350885,-0.10409481820017874,0.20411161586063997,0.79588838413936
"[0.0, 0.5, 0.5, 0.0]",0.008308117762207745,-0.03043985061779153,0.16310377753652183,0.8368962224634782
"[0.0, 0.5, 0.0, 0.5]",0.03717934327813399,-0.3707758353056413,0.059193791929455175,0.9408062080705448
"[0.0, 0.5, 0.0, 0.5]",0.03717934327813399,-0.3707758353056413,0.059193791929455175,0.9408062080705448
"[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]",0.031226985373916438,-0.0061525420381413065,0.08685852236522873,0.9131414776347713
"[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]",0.031226985373916438,-0.0061525420381413065,0.08685852236522873,0.9131414776347713
"[0.5, 0.0, 0.5, 0.0]",0.010493638777812397,-0.4152698042894002,0.13872532428572037,0.8612746757142796
"[0.5, 0.0, 0.5, 0.0]",0.010493638777812397,-0.4152698042894002,0.13872532428572037,0.8612746757142796
"[0.5, 0.0, 0.5, 0.0]",0.010493638777812397,-0.4152698042894002,0.13872532428572037,0.8612746757142796
"[0.0, 0.5, 0.0, 0.5]",0.24934312208727394,-0.7880672903990034,0.25654273591595467,0.7434572640840453
"[0.0, 0.0, 0.5, 0.5]",0.01643806376609669,-0.07538558584900845,0.6656384630224313,0.33436153697756865
"[0.5, 0.0, 0.0, 0.5]",0.03047674423026059,-0.03346065069313531,0.1083398657242508,0.8916601342757492
"[0.5, 0.0, 0.0, 0.5]",0.03047674423026059,-0.03346065069313531,0.1083398657242508,0.8916601342757492
"[0, 0, 0, 1]",0.05063900096775531,-0.11490593847112929,0.21336451007939572,0.7866354899206043
"[0.0, 0.0, 0.5, 0.5]",0.9659713446901137,-0.5134284049918041,0.3204679109887564,0.6795320890112436
"[0.0, 0.0, 0.5, 0.5]",0.9659713446901137,-0.5134284049918041,0.3204679109887564,0.6795320890112436
"[1, 0, 0, 0]",0.022649710084255203,-0.042871167550903366,0.1582695126317557,0.8417304873682443
"[1, 0, 0, 0]",0.022649710084255203,-0.042871167550903366,0.1582695126317557,0.8417304873682443
"[1, 0, 0, 0]",0.022649710084255203,-0.042871167550903366,0.1582695126317557,0.8417304873682443
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[1, 0, 0, 0]",0.26437472318398414,-0.31607664264171254,0.23231021881924818,0.7676897811807518
"[0, 0, 0, 1]",0.042129247002819836,-0.005397200378983613,0.05250254173340363,0.9474974582665964
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.07118298207684426,-0.20377150079283957,0.8795297927502315,0.12047020724976854
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.07118298207684426,-0.20377150079283957,0.8795297927502315,0.12047020724976854
"[0, 1, 0, 0]",0.04807069747363424,-0.012655868205689424,0.0774424842257101,0.9225575157742899
"[0, 1, 0, 0]",0.04807069747363424,-0.012655868205689424,0.0774424842257101,0.9225575157742899
"[0, 1, 0, 0]",0.04807069747363424,-0.012655868205689424,0.0774424842257101,0.9225575157742899
"[0, 1, 0, 0]",0.04807069747363424,-0.012655868205689424,0.0774424842257101,0.9225575157742899
"[0, 1, 0, 0]",0.04807069747363424,-0.012655868205689424,0.0774424842257101,0.9225575157742899
"[0, 1, 0, 0]",0.04807069747363424,-0.012655868205689424,0.0774424842257101,0.9225575157742899
"[0, 1, 0, 0]",0.04807069747363424,-0.012655868205689424,0.0774424842257101,0.9225575157742899
"[0.5, 0.0, 0.0, 0.5]",0.019150289348800587,-0.10544682507178305,0.4325286234714152,0.5674713765285848
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.35256127853208596,-0.21478679229631814,0.6182923245388451,0.3817076754611549
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.35256127853208596,-0.21478679229631814,0.6182923245388451,0.3817076754611549
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.35256127853208596,-0.21478679229631814,0.6182923245388451,0.3817076754611549
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.35256127853208596,-0.21478679229631814,0.6182923245388451,0.3817076754611549
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.027247059766968618,-0.8832893625732335,0.4759122541604681,0.5240877458395319
"[0.0, 0.0, 0.5, 0.5]",0.4650960510162091,-0.014352222686211613,0.6317624238302622,0.36823757616973785
"[1, 0, 0, 0]",0.039295970712637684,-0.4691363347922375,0.8389528585573466,0.16104714144265342
"[1, 0, 0, 0]",0.039295970712637684,-0.4691363347922375,0.8389528585573466,0.16104714144265342
"[1, 0, 0, 0]",0.039295970712637684,-0.4691363347922375,0.8389528585573466,0.16104714144265342
"[1, 0, 0, 0]",0.039295970712637684,-0.4691363347922375,0.8389528585573466,0.16104714144265342
"[1, 0, 0, 0]",0.039295970712637684,-0.4691363347922375,0.8389528585573466,0.16104714144265342
"[1, 0, 0, 0]",0.039295970712637684,-0.4691363347922375,0.8389528585573466,0.16104714144265342
"[1, 0, 0, 0]",0.039295970712637684,-0.4691363347922375,0.8389528585573466,0.16104714144265342
"[1, 0, 0, 0]",0.010545874087126927,-0.09099639864263076,0.024107704384103035,0.975892295615897
"[1, 0, 0, 0]",0.010545874087126927,-0.09099639864263076,0.024107704384103035,0.975892295615897
