weights,buy_threshold,sell_threshold,weight_verified,weight_non_verified
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 1, 0, 0]",0.035056496197132136,-0.02104902007140197,0.6668508035001021,0.33314919649989794
"[0, 1, 0, 0]",0.035056496197132136,-0.02104902007140197,0.6668508035001021,0.33314919649989794
"[0, 1, 0, 0]",0.035056496197132136,-0.02104902007140197,0.6668508035001021,0.33314919649989794
"[0, 1, 0, 0]",0.035056496197132136,-0.02104902007140197,0.6668508035001021,0.33314919649989794
"[0, 1, 0, 0]",0.035056496197132136,-0.02104902007140197,0.6668508035001021,0.33314919649989794
"[0, 1, 0, 0]",0.035056496197132136,-0.02104902007140197,0.6668508035001021,0.33314919649989794
"[0, 1, 0, 0]",0.035056496197132136,-0.02104902007140197,0.6668508035001021,0.33314919649989794
"[0, 1, 0, 0]",0.11649712872562057,-0.9520723898266241,0.38576636697671374,0.6142336330232863
"[0, 1, 0, 0]",0.11649712872562057,-0.9520723898266241,0.38576636697671374,0.6142336330232863
"[0, 1, 0, 0]",0.11649712872562057,-0.9520723898266241,0.38576636697671374,0.6142336330232863
"[0.5, 0.5, 0.0, 0.0]",0.04884611311024645,-0.07885961476662906,0.02073076600837609,0.9792692339916239
"[0, 1, 0, 0]",0.03801628555613812,-0.1681315603986312,0.8679858383546818,0.1320141616453182
"[0, 1, 0, 0]",0.03801628555613812,-0.1681315603986312,0.8679858383546818,0.1320141616453182
"[0, 1, 0, 0]",0.03801628555613812,-0.1681315603986312,0.8679858383546818,0.1320141616453182
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0, 1, 0, 0]",0.05678384514681134,-0.11944697528031101,0.978504391503981,0.021495608496018948
"[0.0, 0.5, 0.5, 0.0]",0.059976995566606184,-0.015746661106576743,0.7780924232926935,0.22190757670730654
"[0.0, 0.5, 0.5, 0.0]",0.059976995566606184,-0.015746661106576743,0.7780924232926935,0.22190757670730654
"[0.0, 0.5, 0.5, 0.0]",0.059976995566606184,-0.015746661106576743,0.7780924232926935,0.22190757670730654
"[0.0, 0.5, 0.5, 0.0]",0.059976995566606184,-0.015746661106576743,0.7780924232926935,0.22190757670730654
"[0.0, 0.5, 0.5, 0.0]",0.059976995566606184,-0.015746661106576743,0.7780924232926935,0.22190757670730654
"[0.0, 0.5, 0.5, 0.0]",0.018920097680239722,-0.02873081587286752,0.9460806961890883,0.0539193038109117
"[0.0, 0.5, 0.5, 0.0]",0.018920097680239722,-0.02873081587286752,0.9460806961890883,0.0539193038109117
"[0.0, 0.5, 0.5, 0.0]",0.018920097680239722,-0.02873081587286752,0.9460806961890883,0.0539193038109117
"[1, 0, 0, 0]",0.043918928884495556,-0.016418211108597425,0.6876557490345868,0.3123442509654132
"[1, 0, 0, 0]",0.043918928884495556,-0.016418211108597425,0.6876557490345868,0.3123442509654132
"[1, 0, 0, 0]",0.043918928884495556,-0.016418211108597425,0.6876557490345868,0.3123442509654132
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.18436481767612034,-0.4554716942746895,0.8084426143754917,0.1915573856245083
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.042192731779086334,-0.12610919429987277,0.3713313146481968,0.6286686853518032
"[0, 1, 0, 0]",0.027624504929658733,-0.01559612648912112,0.7626508823764611,0.23734911762353894
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.46725606064139635,-0.32197005706432724,0.8751435824971079,0.12485641750289211
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.46725606064139635,-0.32197005706432724,0.8751435824971079,0.12485641750289211
"[0.0, 0.0, 0.5, 0.5]",0.06913982657365447,-0.22208101739131192,0.7092656367686255,0.29073436323137447
"[0.5, 0.0, 0.5, 0.0]",0.004642633621477543,-0.0016253566192286906,0.11557441692753168,0.8844255830724683
"[0, 1, 0, 0]",0.08013012641676165,-0.017329963679518667,0.7222372807394256,0.2777627192605744
"[0, 1, 0, 0]",0.08013012641676165,-0.017329963679518667,0.7222372807394256,0.2777627192605744
"[0.0, 0.0, 0.5, 0.5]",0.09330571755287143,-0.9903837138038235,0.949731714668158,0.05026828533184202
"[0.0, 0.0, 0.5, 0.5]",0.09330571755287143,-0.9903837138038235,0.949731714668158,0.05026828533184202
"[0.0, 0.0, 0.5, 0.5]",0.09330571755287143,-0.9903837138038235,0.949731714668158,0.05026828533184202
"[0.0, 0.5, 0.5, 0.0]",0.07612401633784605,-0.03850262939128746,0.6944621820937915,0.3055378179062085
"[0.0, 0.5, 0.5, 0.0]",0.07612401633784605,-0.03850262939128746,0.6944621820937915,0.3055378179062085
"[0.0, 0.5, 0.5, 0.0]",0.07612401633784605,-0.03850262939128746,0.6944621820937915,0.3055378179062085
"[0.5, 0.5, 0.0, 0.0]",0.015587359105389886,-0.002852293776264614,0.32159472460280036,0.6784052753971996
"[0.5, 0.5, 0.0, 0.0]",0.044265650954437685,-0.4480970712621499,0.1989791361196268,0.8010208638803732
"[0.5, 0.5, 0.0, 0.0]",0.044265650954437685,-0.4480970712621499,0.1989791361196268,0.8010208638803732
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.05678765536156305,-0.09918167845154924,0.7023380783135148,0.2976619216864852
