weights,buy_threshold,sell_threshold,weight_verified,weight_non_verified
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]",0.010638746170163249,-0.04270503435709139,0.9817661658376157,0.018233834162384333
"[0.0, 0.5, 0.0, 0.5]",0.7678593361531383,-0.9346384279450085,0.19262512401941345,0.8073748759805865
"[0.0, 0.5, 0.0, 0.5]",0.7678593361531383,-0.9346384279450085,0.19262512401941345,0.8073748759805865
"[1, 0, 0, 0]",0.06324787093824591,-0.7163217131998662,0.014128688765094766,0.9858713112349052
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.014034634428069515,-0.1260866045413559,0.7378942517659287,0.2621057482340713
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.014034634428069515,-0.1260866045413559,0.7378942517659287,0.2621057482340713
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.014034634428069515,-0.1260866045413559,0.7378942517659287,0.2621057482340713
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.014034634428069515,-0.1260866045413559,0.7378942517659287,0.2621057482340713
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.014034634428069515,-0.1260866045413559,0.7378942517659287,0.2621057482340713
"[0.0, 0.0, 0.5, 0.5]",0.699679131064392,-0.42787027891442386,0.4266904173324009,0.5733095826675991
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0, 1, 0, 0]",0.03727352333510314,-0.010089643329427522,0.1363890177987651,0.8636109822012349
"[0.0, 0.5, 0.0, 0.5]",0.07939677985038385,-0.5970079111953,0.87127008839285,0.12872991160714997
"[0.0, 0.5, 0.0, 0.5]",0.07939677985038385,-0.5970079111953,0.87127008839285,0.12872991160714997
"[0.0, 0.5, 0.0, 0.5]",0.07939677985038385,-0.5970079111953,0.87127008839285,0.12872991160714997
"[0.0, 0.5, 0.0, 0.5]",0.07939677985038385,-0.5970079111953,0.87127008839285,0.12872991160714997
"[0.0, 0.5, 0.0, 0.5]",0.07939677985038385,-0.5970079111953,0.87127008839285,0.12872991160714997
"[0.0, 0.5, 0.0, 0.5]",0.07939677985038385,-0.5970079111953,0.87127008839285,0.12872991160714997
