weights,buy_threshold,sell_threshold,weight_verified,weight_non_verified
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0.22598176629316202, 0.26444508209487133, 0.1489262667020662, 0.3606468849099004]",0.5941211463539509,-0.015539534292115076,0.05047458502954816,0.9495254149704518
"[0, 1, 0, 0]",0.08177313949058251,-0.014621757521751433,0.5313923639913872,0.46860763600861277
"[0, 1, 0, 0]",0.08177313949058251,-0.014621757521751433,0.5313923639913872,0.46860763600861277
"[0.5, 0.5, 0.0, 0.0]",0.01963912749239982,-0.11795156067541979,0.651645795784033,0.34835420421596697
"[0.5, 0.5, 0.0, 0.0]",0.01963912749239982,-0.11795156067541979,0.651645795784033,0.34835420421596697
"[0.5, 0.5, 0.0, 0.0]",0.01963912749239982,-0.11795156067541979,0.651645795784033,0.34835420421596697
"[0.0, 0.5, 0.5, 0.0]",0.05845048313107393,-0.26544028994544044,0.9207228928773665,0.07927710712263347
"[0.0, 0.5, 0.5, 0.0]",0.05845048313107393,-0.26544028994544044,0.9207228928773665,0.07927710712263347
"[0.0, 0.5, 0.5, 0.0]",0.05845048313107393,-0.26544028994544044,0.9207228928773665,0.07927710712263347
"[0.0, 0.5, 0.5, 0.0]",0.05845048313107393,-0.26544028994544044,0.9207228928773665,0.07927710712263347
"[0.0, 0.5, 0.5, 0.0]",0.05845048313107393,-0.26544028994544044,0.9207228928773665,0.07927710712263347
"[0.0, 0.5, 0.5, 0.0]",0.05845048313107393,-0.26544028994544044,0.9207228928773665,0.07927710712263347
"[0.0, 0.5, 0.5, 0.0]",0.05845048313107393,-0.26544028994544044,0.9207228928773665,0.07927710712263347
"[0.0, 0.5, 0.5, 0.0]",0.05845048313107393,-0.26544028994544044,0.9207228928773665,0.07927710712263347
