weights,buy_threshold,sell_threshold,weight_verified,weight_non_verified
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 1, 0, 0]",0.013842076097996259,-0.060388056942306756,0.057997644588912545,0.9420023554110875
"[0, 1, 0, 0]",0.013842076097996259,-0.060388056942306756,0.057997644588912545,0.9420023554110875
"[0, 1, 0, 0]",0.013842076097996259,-0.060388056942306756,0.057997644588912545,0.9420023554110875
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.09576097972243347,-0.5670471576322694,0.3028406413524143,0.6971593586475857
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.09576097972243347,-0.5670471576322694,0.3028406413524143,0.6971593586475857
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.09576097972243347,-0.5670471576322694,0.3028406413524143,0.6971593586475857
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.09576097972243347,-0.5670471576322694,0.3028406413524143,0.6971593586475857
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.09576097972243347,-0.5670471576322694,0.3028406413524143,0.6971593586475857
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.09576097972243347,-0.5670471576322694,0.3028406413524143,0.6971593586475857
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.09576097972243347,-0.5670471576322694,0.3028406413524143,0.6971593586475857
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.0055303269339961325,-0.11937505917142766,0.5516905509856695,0.44830944901433045
"[0, 1, 0, 0]",0.02064323706163318,-0.1013625452717315,0.7536471730115194,0.2463528269884806
"[0, 1, 0, 0]",0.02064323706163318,-0.1013625452717315,0.7536471730115194,0.2463528269884806
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.15213441227875757,-0.5435821508745228,0.5011873670215001,0.49881263297849987
"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.15213441227875757,-0.5435821508745228,0.5011873670215001,0.49881263297849987
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.004607027341552272,-0.018790034475202444,0.4678859277487659,0.5321140722512341
"[0.0, 0.5, 0.0, 0.5]",0.059958372427735385,-0.08639599559729383,0.5602912290927207,0.43970877090727933
"[0.0, 0.5, 0.0, 0.5]",0.059958372427735385,-0.08639599559729383,0.5602912290927207,0.43970877090727933
"[0.0, 0.5, 0.0, 0.5]",0.059958372427735385,-0.08639599559729383,0.5602912290927207,0.43970877090727933
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.06306000983213278,-0.07544087113153397,0.7156423629185069,0.2843576370814931
"[0.0, 0.5, 0.0, 0.5]",0.040662881695951,-0.006216864404365197,0.21823118940229136,0.7817688105977086
"[0.0, 0.5, 0.0, 0.5]",0.040662881695951,-0.006216864404365197,0.21823118940229136,0.7817688105977086
"[0.0, 0.5, 0.0, 0.5]",0.040662881695951,-0.006216864404365197,0.21823118940229136,0.7817688105977086
"[0.0, 0.5, 0.0, 0.5]",0.040662881695951,-0.006216864404365197,0.21823118940229136,0.7817688105977086
"[0, 0, 1, 0]",0.09141076798496417,-0.12933684001022894,0.9207470572050845,0.07925294279491546
"[0, 0, 1, 0]",0.09141076798496417,-0.12933684001022894,0.9207470572050845,0.07925294279491546
"[0, 0, 1, 0]",0.09141076798496417,-0.12933684001022894,0.9207470572050845,0.07925294279491546
"[0, 0, 1, 0]",0.09141076798496417,-0.12933684001022894,0.9207470572050845,0.07925294279491546
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
"[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",0.05178046199035813,-0.18447377245653307,0.7145190296475518,0.28548097035244824
