date,signal,position,valeur_portefeuille,Close,Signal
2022-02-01,0,0.0,1000.0,310.42,0
2022-02-02,0,0.0,1000.0,301.89,0
2022-02-03,0,0.0,1000.0,297.05,0
2022-02-10,0,0.0,1000.0,301.52,0
2022-02-11,0,0.0,1000.0,286.67,0
2022-02-17,0,0.0,1000.0,292.12,0
2022-02-18,0,0.0,1000.0,285.66,0
2022-02-23,0,0.0,1000.0,254.68,0
2022-02-24,0,0.0,1000.0,266.92,0
2022-02-28,0,0.0,1000.0,290.14,0
2022-03-03,0,0.0,1000.0,279.76,0
2022-03-04,1,3.575135096446337,999.0,279.43,1
2022-03-08,0,3.575135096446337,982.4471245034534,274.8,0
2022-03-11,0,3.575135096446337,947.8398167698529,265.12,0
2022-03-16,0,3.575135096446337,1001.32383781269,280.08,0
2022-03-17,0,3.575135096446337,1038.6839995705543,290.53,0
2022-03-23,0,3.575135096446337,1190.6629925204882,333.04,0
2022-03-24,0,3.575135096446337,1208.2884085459687,337.97,0
2022-03-25,0,3.575135096446337,1204.3915112908421,336.88,0
2022-03-28,0,3.575135096446337,1301.1704183516442,363.95,1
2022-03-29,0,3.575135096446337,1310.3585155495114,366.52,0
2022-03-30,0,3.575135096446337,1303.7087642701213,364.66,0
2022-03-31,0,3.575135096446337,1284.1885266435243,359.2,0
2022-04-01,0,3.575135096446337,1292.5185914182441,361.53,0
2022-04-04,0,3.575135096446337,1365.0580825251404,381.82,1
2022-04-07,0,3.575135096446337,1259.9491106896182,352.42,0
2022-04-08,0,3.575135096446337,1222.0884300182513,341.83,0
2022-04-11,0,3.575135096446337,1163.0271982249578,325.31,1
2022-04-12,0,3.575135096446337,1176.147944028916,328.98,0
2022-04-13,0,3.575135096446337,1218.3702895179472,340.79,0
2022-04-14,0,3.575135096446337,1173.8241062162258,328.33,0
2022-04-18,0,3.575135096446337,1196.8122248863758,334.76,0
2022-04-21,0,3.575135096446337,1202.1749275310453,336.26,0
2022-04-22,0,3.575135096446337,1197.7417600114518,335.02,1
2022-04-25,0,3.575135096446337,1189.340192534803,332.67,0
2022-04-26,0,3.575135096446337,1044.4399670758328,292.14,0
2022-04-27,0,3.575135096446337,1050.5176967397915,293.84,0
2022-04-28,0,3.575135096446337,1045.7270157105536,292.5,0
2022-05-03,0,3.575135096446337,1083.5519450309557,303.08,0
2022-05-04,0,3.575135096446337,1135.2483985255699,317.54,0
2022-05-09,0,3.575135096446337,938.0081952546254,262.37,0
2022-05-10,0,3.575135096446337,953.4170275203091,266.68,0
2022-05-11,0,3.575135096446337,874.7283040475253,244.67,0
2022-05-12,-1,0.0,866.5780338546326,242.67,-1
2022-05-13,0,0.0,866.5780338546326,256.53,-1
